Site;Sample; C14 age;error;State;Cal age;error;County / region;UTM Zone;East;North
São Domingos;Beta-294097;360;30;RO ;402;64;Porto Velho;20L;400484;9031681
SC-AB-96;Beta 190303;360;40;SC;402;69;Abdon Batista;22J;497448;6946117
SC-AB-96;Beta 190303;360;40;SC;402;69;Abdon Batista;22J;497448;6946117
RS-A-29;Beta 178089;370;50;RS;406;71;Vacaria;22J;506338;6846729
RS-AN-3;Beta 166584;370;50;RS;406;71;Bom Jesus;22J;555456;6828282
SC-AB-04;Beta 190293;370;40;SC;406;71;Abdon Batista;22J;497448;6946117
U-454;N/A;370;50;RS;406;71;Machadinho;22J;434211;6950843
U-454;N/A;370;60;RS;406;73;Machadinho;22J;434211;6950843
AM-IT-35 (Bom Socorro);Beta-421498;370;30;AM;407;67;Itacoatiara;21M;339570;9653129
Campelo;Beta-260327;370;40;RO ;407;67;Porto Velho;20L;400484;9031681
Posto Fiscal;Beta 309037;370;30;RS;407;71;Pinhal da Serra;22J;483116;6916602
Roncador dos Mendes;Beta 160505;370;50;MT;407;68;Cuiabá;21L;596897;8274866
RS-003;Beta 422489;370;30;RS;407;71;Cruzeiro do Sul;22J;403827;6734675
RS-T-114;Beta 326926;370;30;RS;407;71;Marques de Souza;22J;393478;6755391
Toca da Baixa dos Caboclos;Beta-113115;371;40;PI;407;68;São Raimundo Nonato;23L;753628;9002823
RS-RP-81;SI-4166;380;80;RS;409;80;Vera Cruz;22J;353396;6711397
Água Limpa;TL/UNIFESP;378;40;SP;410;40;Monte Alto;22K;759685;7646404
Pedra do Caboclo;MC 1041;380;70;PE;410;74;Bom Jardim ;25M;215130;9136871
PS 02-Camping;Beta 234205;380;50;RS;410;73;Pelotas;22J;374363;6489406
Rio Taquari 1;FATEC 107;370;40;MS;410;40;Brasilândia;22K;392446;7649212
RS-A-29;Beta 153843;380;60;RS;410;74;Vacaria;22J;506338;6846729
Mata dos Bentes;Beta 275030;380;40;MG;411;69;Carangola;23K;809342;7704540
PS-02-Camping;Beta 234205;380;50;RS;411;70;Pelotas;22J;374363;6489406
AM-IT-35 (Bom Socorro);Beta-410640;380;30;AM;412;69;Itacoatiara;21M;339570;9653129
Foz do Carumbé;Beta 374446;380;30;PR;413;72;Adrianópolis;22J;703206;7271413
Jaguariaiva 1;LACUFF160197;390;89;PR;413;85;Jaguariaiva ;22J;629399;7316048
SC-ARA-010;Beta 403218;380;30;SC;413;72;Araranguá;22J;646294;6796591
RS-PE-10a;SI-6556;390;50;RS;414;75;Esmeralda;22J;481219;6896649
SC-AG-100;Beta 226124;390;50;SC;414;75;Anita Garibaldi;22J;487123;6937474
Bataguaçu 4/ MS-PD-06;FATEC 406;390;40;MS;415;40;Bataguaçu;22K;352375;7597659
PR-FI-142;SI-5034;395;60;PR;416;76;Foz do Iguaçu;21J;744414;7175482
ACH-LP-07;GIF-13160;395;40;SC;418;74;Águas de Chapecó;22J;303335;7003689
GO-NI-134;CENA;400;65;GO;418;76;Niquelândia;22L;773793;8398695
RS-VZ-25 (Giruá);SI-600;400;100;RS;418;92;Porto Lucena;21J;694985;6917464
Lagoa dos Freitas;BETA 403220;390;30;SC;419;70;Balneário Rincão;22J;672192;6809436
N/A;CAMS-52773;390;30;SC;419;70;Ponta das Canas;22J;754488;6965010
Tauary;Beta-386837;390;30;AM;419;70;Tefé;20M;308814;9629688
Água Limpa;TL/UNIFESP;400;45;SP;420;45;Monte Alto;22K;759685;7646404
CD1 (T1/00-10);FATEC 157;403;50;MS;420;50;Anaurilândia;22K;322657;7545771
Santa Elina;GIF-8955;400;50;MT;420;73;Jangada;21L;554672;8315348
ACH-SU-01-C3-524;Beta236324;400;40;SC;422;74;Águas de Chapecó;22J;303335;7003689
SC-AB-04;Beta 190292;400;40;SC;422;74;Abdon Batista;22J;497448;6946117
Gruta do Gentio (MG-RP-6);SI-2836;410;60;MG;424;76;Unaí;23K;296834;8190168
CD 1 (SUP);FATEC 183;395;25;MS;425;25;Anaurilândia;22K;322657;7545771
PR-FI-104;SI-5032;415;75;PR;426;84;Foz do Iguaçu;21J;744414;7175482
AM-IT-35 (Bom Socorro);Beta-420445;400;30;AM;427;68;Itacoatiara;21M;339570;9653129
Gruta do Marinheiro;Beta 337001;400;30;MG;427;68;Pains;23K;430935;7747043
Pirajibu;N/A;415;105;SP;427;98;Sorocaba;23K;248225;7398180
RN-BO-16;SI 2365;417;60;RN;427;77;Florânia;24M;741471;9322290
Figueira;TL/FATEC;415;50;SP;428;50;Candido Mota;22K;563080;7484064
SC-AG-107 (Euclides Granzotto);N/A;420;60;SC;429;80;Anita Garibaldi;22J;487123;6937474
SC-U-368;Beta 118376;420;60;RS;429;80;Maximiliano de Almeida;22J;420975;6943026
Toca do Fundo do Baixão da Pedra Furada;Beta-156407;420;80;PI;429;83;São Raimundo Nonato;23L;753628;9002823
U-71;N/A;420;60;RS;429;80;Maximiliano de Almeida;22J;420975;6943026
Córrego da Moeda;FATEC 86;424;64;MS;430;64;Três Lagoas;22K;427308;7701084
Gruta do Gentio (MG-RP-6);SI-2836;423;79;MG;430;84;Unaí;23K;296834;8190168
RS-PE-28a;SI-6562;420;55;RS;430;79;Esmeralda;22J;481219;6896649
SC-ARA-002;Beta 403217;400;30;SC;430;68;Araranguá;22J;646294;6796591
Fase Jamari / Matapi;Beta-22751;420;50;RO ;431;75;Ji-Paraná;20L;617072;8796232
Toca do Pitombi;GIF-6437;420;50;PI;431;75;São Raimundo Nonato;23L;753628;9002823
MS-PD-04;TL-USP;406;32;MS;432;32;Rio Pardo;22K;310125;7643038
Rio Pardo 4 ;FATEC 187;405;30;MS;432;30;Santa Rita do Pardo;22K;310125;7643038
Gruta do Gentio (MG-RP-6);SI 3521;430;70;MG;434;81;Unaí;23K;296834;8190168
CD 1 (T1/10-20);FATEC 160;425;50;MS;435;50;Anaurilândia;22K;322657;7545771
PR-SA-44;Beta 180908;430;60;PR;436;81;Ortigueira;22J;507424;7322813
Gruta do Marinheiro;UGAMS 15110;400;25;MG;437;60;Pains;23K;430935;7747043
Aldeia do Carlos;TL;428;48;PI;439;72;São Raimundo Nonato;23L;753628;9002823
Ferraz Egreja;Gif-10044;420;40;MT;439;67;Rondonópolis ;21K;753108;8178076
SC-AG-77;Beta 190311;420;40;SC;440;69;Anita Garibaldi;22J;487123;6937474
SC-AG-77;Beta 190311;420;40;SC;440;69;Anita Garibaldi;22J;487123;6937474
MT-FX-11;BETA-72263;440;70;MT;441;82;Paranatinga;21L;817759;8403174
RS-S-337;Beta 165621;440;90;RS;444;95;Santo Antonio da Patrulha;22J;545747;6699710
Água Limpa;TL/UNIFESP;424;40;SP;445;40;Monte Alto;22K;759685;7646404
CD1 (T1/20-30);FATEC 140;416;35;MS;445;35;Anaurilândia;22K;322657;7545771
RS-SR-342;Beta 118376;440;60;RS;445;79;Guaiba;22J;467963;6668807
MT-SL-62;BETA-31031;450;70;MT;449;82;Juscimeira;21K;726054;8224045
Celia Maria;TL;446;60;SP;450;60;Marabá Paulista;22K;400461;7554702
Estiva 1;TL-418;438;50;MT;450;50;Cuiabá;21L;596897;8274866
U-470;N/A;450;70;RS;452;85;Machadinho;22J;434211;6950843
Mané do Juquinha;Beta 193754;450;60;MG;455;72;Pains;23K;430935;7747043
Água Limpa;TL/UNIFESP;442;50;SP;460;50;Monte Alto;22K;759685;7646404
Alto Paraná 13/ MS-PR-40;FATEC 99;442;50;MS;460;50;Brasilândia;22K;388794;7621701
CD1 (T1/20-30);FATEC 137;448;55;MS;460;55;Anaurilândia;22K;322657;7545771
Rezende;TL;442;50;MG;460;50;Centralina;22K;690223;7943584
RS-T-114;Beta 326927;410;30;RS;463;41;Marques de Souza;22J;393478;6755391
